Event,Duration(ms),,,
PhaseComputation,872.473193440.866,,,
DataReception,870.452,,,
DataReception,3371.196,,,
DataReception,2954.078,,,
GSPATComputation,6321.716,,,
PhaseComputation,0.221,,,
DataReception,1669.866,,,
DataReception,1815.734,,,
GSPATComputation,3484.463,,,
PhaseComputation,0.288,,,
DataReception,2871.566,,,
DataReception,1368.476,,,
GSPATComputation,4238.761,,,
PhaseComputation,0.258,,,
DataReception,2281.085,,,
GSPATComputation,2328.686,,,
DataReception,52.132,,,
PhaseComputation,0.098,,,
DataReception,35.005,,,
DataReception,2851.241,,,
GSPATComputation,2889.006,,,
PhaseComputation,0.156,,,
DataReception,125.828,,,
DataReception,2022.606,,,
GSPATComputation,2145.57,,,
PhaseComputation,0.245,,,
DataReception,219.317,,,
DataReception,422.063,,,
GSPATComputation,638.578,,,
PhaseComputation,0.205,,,
DataReception,2495.718,,,
DataReception,1608.417,,,
GSPATComputation,4104.412,,,
PhaseComputation,0.141,,,
DataReception,1203.534,,,
DataReception,1381.562,,,
GSPATComputation,2584.62,,,
PhaseComputation,0.146,,,
DataReception,5022.651,,,
GSPATComputation,5018.69,,,
PhaseComputation,0.129,,,
DataReception,5026.062,,,
GSPATComputation,5024.691,,,
PhaseComputation,0.085,,,
DataReception,1584.966,,,
DataReception,1476.316,,,
GSPATComputation,3064.5,,,
PhaseComputation,0.084,,,
DataReception,5015.433,,,
GSPATComputation,5014.326,,,
PhaseComputation,0.168,,,
DataReception,1601.058,,,
DataReception,250413.635,,,
GSPATComputation,252012.548,,,
PhaseComputation,0.553,,,
DataReception,5930.395,,,
GSPATComputation,12373.503,,,
,PhaseComputation,,DataReception,6450.3650.496
,,,,
DataReception,6993.285,,,
DataReception,3737.31,,,
GSPATComputation,10729.827,,,
PhaseComputation,0.258,,,
DataReception,2890.28,,,
DataReception,2260.049,,,
GSPATComputation,5150.015,,,
PhaseComputation,0.123,,,
DataReception,24.969,,,
DataReception,165.969,,,
DataReception,126370.152,,,
GSPATComputation,126561.857,,,
PhaseComputation,0.204,,,
DataReception,2365.722,,,
DataReception,10.91,,,
DataReception,38.686,,,
DataReception,32.548,,,
DataReception,24.316,,,
DataReception,36.736,,,
DataReception,43.451,,,
DataReception,31.3,,,
DataReception,27.14,,,
DataReception,27.946,,,
DataReception,33.835,,,
DataReception,35.956,,,
DataReception,84.593,,,
DataReception,0.349,,,
DataReception,17.197,,,
DataReception,30.056,,,
DataReception,28.303,,,
DataReception,34.735,,,
DataReception,31.47,,,
DataReception,36.799,,,
DataReception,33.993,,,
DataReception,37.39,,,
DataReception,51.508,,,
DataReception,22.053,,,
DataReception,31.253,,,
DataReception,1895.538,,,
GSPATComputation,5044.057,,,
PhaseComputation,0.277,,,
DataReception,1494.251,,,
DataReception,30.468,,,
DataReception,33.045,,,
DataReception,27.805,,,
DataReception,37.466,,,
DataReception,32.016,,,
DataReception,41.886,,,
DataReception,24.647,,,
DataReception,34.122,,,
DataReception,32.509,,,
DataReception,28.428,,,
DataReception,40.631,,,
DataReception,29.767,,,
DataReception,28.976,,,
DataReception,35.054,,,
DataReception,39.66,,,
DataReception,31.776,,,
DataReception,27.173,,,
DataReception,33.104,,,
DataReception,37.323,,,
DataReception,29.904,,,
DataReception,32.843,,,
DataReception,40.042,,,
DataReception,2802.792,,,
GSPATComputation,5024.006,,,
PhaseComputation,0.236,,,
DataReception,909.078,,,
DataReception,161.045,,,
