Timestamp,Event,Duration(ms)
1725867388461,sendDepthBoxVertices,88
1725867391830,sendInvalidPosition,0
1725867391850,PositionUpdate,20
1725867394795,sendDepthBoxVertices,17
1725867396465,sendInvalidPosition,0
1725867396474,PositionUpdate,9
1725867398282,sendDepthBoxVertices,9
1725867401144,sendInvalidPosition,1
1725867401158,PositionUpdate,14
1725867402511,sendDepthBoxVertices,12
1725867404805,sendInvalidPosition,0
1725867404812,PositionUpdate,7
1725867404843,sendDepthBoxVertices,16
1725867404883,sendInvalidPosition,0
1725867404898,PositionUpdate,16
1725867407742,sendDepthBoxVertices,19
1725867407870,sendInvalidPosition,0
1725867407874,PositionUpdate,5
1725867409884,sendDepthBoxVertices,23
1725867410101,sendInvalidPosition,0
1725867410117,PositionUpdate,12
1725867410523,sendDepthBoxVertices,22
1725867413027,sendInvalidPosition,0
1725867413035,PositionUpdate,9
1725867414631,sendDepthBoxVertices,18
1725867415823,sendInvalidPosition,0
1725867415847,PositionUpdate,3
1725867417221,sendDepthBoxVertices,17
1725867422243,sendDepthBoxVertices,16
1725867427267,sendDepthBoxVertices,17
1725867428856,sendInvalidPosition,1
1725867428862,PositionUpdate,7
1725867430331,sendDepthBoxVertices,21
1725867435346,sendDepthBoxVertices,11
1725867436946,sendInvalidPosition,1
1725867436954,PositionUpdate,9
